canonicalName
Coincya rupestris
Coincya transtagana
Conium maculatum
Conopodium
Conopodium ramosum
Conopodium bunioides
Conopodium capillifolium
Conopodium bourgaei
Conopodium thalictrifolium
Consolida ajacis
Consolida orientalis
Convolvulus
Convolvulus arvensis
Convolvulus boissieri
Convolvulus canariensis
Convolvulus cneorum
Convolvulus floridus
Convolvulus glandulosus
Convolvulus perraudieri
Convolvulus scoparius
Convolvulus subauriculatus
Conyza floribunda
Cordylocarpus muricatus
Corema album
Coriaria myrtifolia
Thymus cephalotos
Coris hispanica
Cornus mas
Coronilla
Coronilla viminalis
Coronopus didymus
Coronopus navasii
Coronopus squamatus
Coronopus violaceus
Corylus avellana
Cotoneaster
Cotoneaster granatensis
Cotoneaster horizontalis
Cotoneaster salicifolius
Cotoneaster splendens
Crambe
Crambe alutacea
Crambe arborea
Crambe filiformis
Crambe fruticosa
Crambe gomerae
Crambe glabrata
Crambe koktebelica
Crambe kralikii
Crambe laevigata
Crambe microcarpa
Crambe pritzelii
Crambe santosii
Crambe scaberrima
Crambe strigosa
Crambe sventenii
Crambe tamadabensis
Crambe tataria
Crambe wildpretii
Crambella teretifolia
Crataegus azarolus
Crepis albida
Crepis canariensis
Tolpis coronopifolia
Crepis oporinoides
Crepis triasii
Crinodendron patagua
Crucianella maritima
Cryptomeria japonica
Cryptospora falcata
Cryptotaenia elegans
Cucumis africanus
Cucumis dipsaceus
Cucumis longipes
Cucumis melo
Cucumis myriocarpus
Cucumis leptodermis
Cucumis sagittatus
Cucumis sativus
Cucurbita
Cucurbita ficifolia
Cucurbita maxima
Cucurbita pepo
Cuminum cyminum
Cupressus
Cupressus arizonica
Cupressus macrocarpa
Cupressus sempervirens
Cyathea dealbata
Cyclanthera explodens
Cymbalaria pubescens
Cynara alba
Cynodon dactylon
Cynoglossum
Cynoglossum columnae
Cynoglossum nebrodense
Cyperus
Cyperus capitatus
Cyphomandra betacea
Cypripedium calceolus
Cytisus baeticus
Cytisus commutatus
Chronanthus biflorus
Cytisus multiflorus
Cytisus tener
Dactylis glomerata
Daphne gnidium
Daphne rodriguezii
Dasypyrum villosum
Datura ferox
Datura stramonium
Datura tatula
Daucus
Daucus carota
Daucus crinitus
Daucus muricatus
Daucus pusillus
Delonix regia
Delosperma robustum
Delphinium
Delphinium bolosii
Delphinium nevadense
Delphinium fissum
Delphinium elatum
Delphinium requienii
Delphinium staphisagria
Sanguisorba menendezii
Deschampsia argentea
Descurainia
Descurainia appendiculata
Descurainia argentina
Descurainia artemisioides
Descurainia bourgeauana
Descurainia bourgaeana
Descurainia gilva
Descurainia kochii
Descurainia lemsii
Descurainia millefolia
Descurainia pinnata
Descurainia preauxiana
Descurainia sophia
Dethawia tenuifolia
Dianthus
Dianthus sylvestris
Dianthus malacitanus
Dianthus cintranus
Dianthus costae
Dianthus crassipes
Dianthus scaber
Dianthus lusitanus
Dianthus plumosus
Dianthus subacaulis
Dianthus pyrenaicus
Dianthus rupicola
Dianthus subbaeticus
Diceratella canescens
Didesmus aegyptius
Didesmus bipinnatus
Digitalis
Digitalis dubia
Digitalis obscura
Digitalis purpurea
Digitalis thapsi
Diospyros kaki
Diplotaxis acris
Diplotaxis berthautii
Diplotaxis brevisiliqua
Diplotaxis ibicensis
Diplotaxis ilorcitana
Diplotaxis ollivieri
Diplotaxis siettiana
Diplotaxis viminea
Dipsacus sativus
Diptychocarpus strictus
Disphyma crassifolium
Distichoselinum tenuifolium
Doronicum carpetanum
Doronicum columnae
Dorycnium eriophthalmum
Anthyllis hermanniae
Dorycnium spectabile
Draba aizoides
Draba cantabrica
Draba aizoon
Draba arabisans
Draba aurea
Draba borealis
Draba dedeana
Draba dovrensis
Draba dubia
Draba daurica
Draba hirta
Draba hederifolia
Draba hispanica
Draba bernensis
Draba incana
Draba lasiocarpa
Draba loiseleurii
Draba corsica
Draba nivalis
Draba oreadum
Draba oxycarpa
Arabis reptans
Draba repens
Draba stellata
Draba tibetica
Draba tomentosa
Dracaena draco
Dracunculus canariensis
Drosophyllum lusitanicum
Ebenus cretica
Echinops strigosus
Echinospartum lusitanicum
Echinospartum boissieri
Echium
Echium acanthocarpum
Echium aculeatum
Echium albicans
Echium auberianum
Echium boissieri
Echium brevirame
Echium callithyrsum
Echium candicans
Echium decaisnei
Echium flavum
Echium gentianoides
Echium giganteum
Echium handiense
Echium hierrense
Echium italicum
Echium pitardii
Echium nervosum
Echium onosmifolium
Echium pininana
Echium lusitanicum
Echium simplex
Echium strictum
Echium triste
Echium virescens
Echium wildpretii
Elaeoselinum asclepium
Elburzia fenestrata
Elymus corsicus
Enarthrocarpus arcuatus
Enarthrocarpus clavatus
Enarthrocarpus lyratus
Enarthrocarpus strangulatus
Endressia pyrenaica
